Sample,Run,Location,Size,Status 
Map_29,SRR15209125,Mozambique,1.08GB,? COMPLETE 
Map_28,SRR15209124,Mozambique,7.6MB,? COMPLETE 
Map_27,SRR15209123,Mozambique,22MB,? COMPLETE 
Map_26,SRR15209122,Mozambique,14MB,? COMPLETE 
Map_25,SRR15209121,Mozambique,10MB,? COMPLETE 
Map_24,SRR15209120,Mozambique,20MB,? COMPLETE 
Map_23,SRR15209119,Mozambique,,?? DOWNLOADING 
Map_23,SRR15209119,Mozambique,19.5MB,? COMPLETE 
Map_22,SRR15209118,Mozambique,,?? DOWNLOADING 
Map_22,SRR15209118,Mozambique,17.8MB,? COMPLETE 
Map_21,SRR15209117,Mozambique,,?? DOWNLOADING 
Map_21,SRR15209117,Mozambique,15.8MB,? COMPLETE 
Map_20,SRR15209116,Mozambique,,?? DOWNLOADING 
Map_20,SRR15209116,Mozambique,[SIZE],? COMPLETE 
Map_20,SRR15209116,Mozambique,16.4MB,? COMPLETE 
